Name,Address,Number,Menu,Reservation,Website,Category,Price
Clark and Lewis,"1001 SE Water Ave, Portland, OR 97214",(503) 235-2294,https://www.clarklewispdx.com/menus/dinner/,https://www.opentable.com/r/clarklewis-portland?avt=eyJ2IjoxLCJtIjowLCJwIjowfQ&corrid=36d4951b-7a16-4712-ac93-748e0c350fc9&p=2&sd=2020-07-17+19%3A00,https://www.clarklewispdx.com/,Northwest food,$31 to $50
Portland City Grill,"111 SW 5th Ave Portland, Oregon 97204",(503)450-0030,https://portlandcitygrill.com/menu.php,https://www.opentable.com/portland-city-grill?avt=eyJ2IjoxLCJtIjowLCJwIjowfQ&corrid=30724e6a-db0d-462e-98ee-832a75b6941d&p=2&sd=2020-07-17+19%3A00,https://portlandcitygrill.com/,Steak House,$30 and under
Willow Restaurant,"2005 SE 11th Ave, Portland, OR 97214",(971) 978-7641,https://www.willowpdx.com/,https://www.opentable.com/r/willow-restaurant-portland?avt=eyJ2IjoxLCJtIjowLCJwIjowfQ&corrid=d472fe1e-cbf0-4008-9ea8-85d2b2524a9b&p=2&sd=2020-07-17+19%3A00,https://www.willowpdx.com/,American,$50 and over
Nostrana,"1401 SE Morrison St #101, Portland, OR 97214",(503) 234-2427,https://order.nostrana.com/,https://www.opentable.com/nostrana?avt=eyJ2IjoxLCJtIjowLCJwIjowfQ&corrid=432ae5b4-5680-4b02-9975-2dc1db5e2da8&p=2&sd=2020-07-17+19%3A00,"""https://nostrana.com/",Italian,$31 to $50
a Cena Ristorante,"7742 SE 13th Ave, Portland, OR 97202",(503) 206-3291,https://www.acenapdx.com/dinner-lunch/,https://www.opentable.com/a-cena-ristorante?rid=45727&ref=1068,https://www.acenapdx.com/benvenuto/,Italian,$31 to $50
The Observatory,"8115 SE Stark St, Portland, OR 97215",(503) 445-6284,http://www.theobservatorypdx.com/menus.html,This restaurant does not take reservations,http://www.theobservatorypdx.com/index.php,American,$20 and under
Brazil Grill,"1201 SW 12th Ave, Portland, OR 97205",(503) 222-0002,https://www.brazilgrillrestaurant.com/menu,https://www.opentable.com/r/brazil-grill-portland?avt=eyJ2IjoxLCJtIjoxLCJwIjoxfQ&corrid=86e59488-0003-47e8-a2c2-d25bb418463e&p=2&sd=2020-07-17+19%3A00,https://www.brazilgrillrestaurant.com/,Brazilian Steakhouse,$31 to $50
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035",(503) 352-4750,https://www.oswegogrill.com/lakeoswego#lakeoswegomenus,https://www.opentable.com/oswego-grill-kruse-way?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=86e59488-0003-47e8-a2c2-d25bb418463e&p=2&sd=2020-07-17+19%3A00,https://www.oswegogrill.com/,Steakhouse,$30 and under
Chart House,"5700 SW Terwilliger Blvd, Portland, OR 97239",(503) 246-6963,https://www.chart-house.com/location/chart-house-portland-or/#menus/,https://www.opentable.com/r/chart-house-restaurant-portland?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=86e59488-0003-47e8-a2c2-d25bb418463e&p=2&sd=2020-07-17+19%3A00,https://www.chart-house.com/,Seafood,$31 to $50
Gustavs Pub & Grill,"10350 SW Greenburg Rd, Tigard, OR 97223",(503) 639-4544,https://www.gustavs.net/entree-menu,https://www.opentable.com/r/gustavs-pub-and-grill-tigard?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=86e59488-0003-47e8-a2c2-d25bb418463e&p=2&sd=2020-07-17+19%3A00,https://www.gustavs.net/,German,$30 and under
Arrivederci Wine & Jazz,"17023 SE Mcloughlin Blvd Milwaukie, OR 97267",(503) 659 - 1143,https://www.musthavemenus.com/menu/viewMenu.do?token=eee5bd84-ed23-415f-a886-937a14abd142,https://www.opentable.com/arrivederci-wine-and-jazz?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=86e59488-0003-47e8-a2c2-d25bb418463e&p=2&sd=2020-07-17+19%3A00,http://www.arrivederciwine.com/,Italian,$30 and under
